# Matter power spectrum P(k) at redshift z=0
# for k=1.02334e-05 to 10.5702 h/Mpc,
# number of wavenumbers equal to 615
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       5.714025746311e-01       2.352870507043e+02 
       5.745389296838e-01       2.324321773009e+02 
       5.776752848412e-01       2.296193709326e+02 
       5.808116401017e-01       2.268489900940e+02 
       5.839479954635e-01       2.241198890515e+02 
       5.870843509251e-01       2.214308754762e+02 
       5.902207064848e-01       2.187840483329e+02 
       5.933570621411e-01       2.161789313733e+02 
       5.964934178925e-01       2.136137772607e+02 
       5.996297737374e-01       2.110880778377e+02 
       6.027661296744e-01       2.086055091205e+02 
       6.059024857021e-01       2.061638778406e+02 
       6.090388418190e-01       2.037624115537e+02 
       6.121751980239e-01       2.014040688683e+02 
       6.153115543152e-01       1.990856809927e+02 
       6.184479106918e-01       1.968020810556e+02 
       6.215842671523e-01       1.945610628763e+02 
       6.247206236955e-01       1.923544211172e+02 
       6.278569803200e-01       1.901815795771e+02 
       6.309933370248e-01       1.880475674910e+02 
       6.341296938086e-01       1.859427347421e+02 
       6.372660506702e-01       1.838701943988e+02 
       6.404024076085e-01       1.818284220315e+02 
       6.435387646224e-01       1.798161251776e+02 
       6.466751217107e-01       1.778360571741e+02 
       6.498114788724e-01       1.758828814434e+02 
       6.529478361065e-01       1.739565543467e+02 
       6.560841934118e-01       1.720594107374e+02 
       6.592205507874e-01       1.701904670714e+02 
       6.623569082322e-01       1.683478042640e+02 
       6.654932657453e-01       1.665328591698e+02 
       6.686296233258e-01       1.647445927051e+02 
       6.717659809726e-01       1.629830844627e+02 
       6.749023386848e-01       1.612491492928e+02 
       6.780386964616e-01       1.595389022545e+02 
       6.811750543021e-01       1.578557217431e+02 
       6.843114122053e-01       1.561975512618e+02 
       6.874477701704e-01       1.545631632299e+02 
       6.905841281965e-01       1.529538452706e+02 
       6.937204862829e-01       1.513659441828e+02 
       6.968568444287e-01       1.498017746048e+02 
       6.999932026331e-01       1.482606046888e+02 
       7.031295608954e-01       1.467398304224e+02 
       7.062659192147e-01       1.452401071231e+02 
       7.094022775903e-01       1.437627293171e+02 
       7.125386360214e-01       1.423034491162e+02 
       7.156749945074e-01       1.408663725668e+02 
       7.188113530474e-01       1.394474881090e+02 
       7.219477116409e-01       1.380480156398e+02 
       7.250840702870e-01       1.366673814403e+02 
       7.282204289852e-01       1.353058265842e+02 
       7.313567877347e-01       1.339630873094e+02 
       7.344931465349e-01       1.326401900675e+02 
       7.376295053852e-01       1.313322042434e+02 
       7.407658642848e-01       1.300432893801e+02 
       8.107991919271e-01       1.052904299407e+02 
       9.129473255905e-01       7.950965498418e+01 
       1.076211133044e+00       5.354782631531e+01 
       1.332022796989e+00       3.178964783523e+01 
       1.675280974049e+00       1.797660373936e+01 
       2.109029129216e+00       1.006197670694e+01 
       2.655110294978e+00       5.596693982046e+00 
       3.342585821437e+00       3.097198005357e+00 
       4.208066231710e+00       1.706260769366e+00 
       5.297641513613e+00       9.361320765013e-01 
       6.669335524063e+00       5.114271070356e-01 
       8.396195971024e+00       2.782898246191e-01 
       1.057018447033e+01       1.508498206058e-01 
