# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.02334e-05 to 10.5702 h/Mpc,
# number of wavenumbers equal to 615
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2          
       5.925460659385e-02       4.614412762250e+06       4.593901589690e+06       2.791516549052e+02       2.592626776524e+02       0.000000000000e+00       4.609782052319e+06 
       6.047877175703e-02       4.539246977111e+06       4.520003510446e+06       2.539350365822e+02       2.449822496073e+02       0.000000000000e+00       4.534838705316e+06 
       6.184233804007e-02       4.457700548350e+06       4.439736653500e+06       2.487601710068e+02       2.267630265977e+02       0.000000000000e+00       4.453518523693e+06 
       6.336682965378e-02       4.368767621377e+06       4.352058649470e+06       2.279041465594e+02       2.146576169456e+02       0.000000000000e+00       4.364810203756e+06 
       6.507399148387e-02       4.271050825300e+06       4.255520005785e+06       2.026483996666e+02       2.004126035477e+02       0.000000000000e+00       4.267308592646e+06 
       6.698281440826e-02       4.163340520910e+06       4.148839655741e+06       2.018938869916e+02       1.830695530478e+02       0.000000000000e+00       4.159793176241e+06 
       6.910518823160e-02       4.044476096778e+06       4.030772863865e+06       1.830797264724e+02       1.639107672630e+02       0.000000000000e+00       4.041090441664e+06 
       7.144119096440e-02       3.914072060063e+06       3.900850392990e+06       1.588098394292e+02       1.533863392200e+02       0.000000000000e+00       3.910801829649e+06 
       7.397626114992e-02       3.772583302347e+06       3.759469665624e+06       1.518289351563e+02       1.349998235615e+02       0.000000000000e+00       3.769373045734e+06 
       7.668257308393e-02       3.621867625805e+06       3.608481776893e+06       1.345574212648e+02       1.189895836042e+02       0.000000000000e+00       3.618660267640e+06 
       7.952474100253e-02       3.464913882548e+06       3.450933876050e+06       1.171653574571e+02       1.091632942121e+02       0.000000000000e+00       3.461660621114e+06 
       8.246705960878e-02       3.305653671979e+06       3.290872697673e+06       1.027192292930e+02       9.541939213328e+01       0.000000000000e+00       3.302322640225e+06 
       8.547889253097e-02       3.148339828207e+06       3.132699229704e+06       9.291000518096e+01       8.544575719614e+01       0.000000000000e+00       3.144921197678e+06 
       8.853683991712e-02       2.996998389811e+06       2.980591407861e+06       7.969023232673e+01       7.434520579859e+01       0.000000000000e+00       2.993505026072e+06 
